"INSTID","UKPRN","ProviderName","CountryCode","CategoryName","FE_Provider","Rescinded"
"0087","10007833","Wrexham University","W","Wales HE Provider","","0"
"0088","","Coleg Normal","W","Wales HE Provider","","1"
"0089","10007854","Cardiff Metropolitan University","W","Wales HE Provider","","0"
"0090","10007793","University of South Wales","W","Wales HE Provider","","0"
"0091","10007846","Swansea Metropolitan University","W","Wales HE Provider","","1"
"0092","10007048","Trinity University College","W","Wales HE Provider","","1"
"0094","","Duncan of Jordanstone College of Art","S","Scotland HE Provider","","1"
"0095","10007849","Abertay University","S","Scotland HE Provider","","0"
"0096","10007824","Edinburgh College of Art","S","Scotland HE Provider","","1"
"0097","10002681","Glasgow School of Art","S","Scotland HE Provider","","0"
"0098","","Moray House Institute of Education","S","","","1"
"0099","","Northern College of Education","S","","","1"
"0100","10005337","Queen Margaret University, Edinburgh","S","Scotland HE Provider","","0"
"0101","10005561","Royal Conservatoire of Scotland","S","Scotland HE Provider","","0"
"0102","","St Andrew's College of Education","S","","","1"
"0103","","The Scottish College of Textiles","S","Scotland HE Provider","","1"
"0104","10005500","Robert Gordon University","S","Scotland HE Provider","","0"
"0105","10007800","The University of the West of Scotland","S","Scotland HE Provider","","0"
"0106","10007762","Glasgow Caledonian University","S","Scotland HE Provider","","0"
"0107","10007772","Edinburgh Napier University","S","Scotland HE Provider","","0"
"0108","10007759","Aston University","E","England - Approved (Fee Cap)","","0"
"0109","10007850","The University of Bath","E","England - Approved (Fee Cap)","","0"
"0110","10006840","The University of Birmingham","E","England - Approved (Fee Cap)","","0"
"0111","10007785","The University of Bradford","E","England - Approved (Fee Cap)","","0"
"0112","10007786","The University of Bristol","E","England - Approved (Fee Cap)","","0"
"0113","10000961","Brunel University London","E","England - Approved (Fee Cap)","","0"
"0114","10007788","The University of Cambridge","E","England - Approved (Fee Cap)","","0"
"0115","10001478","City St George's, University of London","E","England - Approved (Fee Cap)","","0"
"0116","10007143","University of Durham","E","England - Approved (Fee Cap)","","0"
"0117","10007789","The University of East Anglia","E","England - Approved (Fee Cap)","","0"
"0118","10007791","The University of Essex","E","England - Approved (Fee Cap)","","0"
"0119","10007792","The University of Exeter","E","England - Approved (Fee Cap)","","0"
"0120","10007149","The University of Hull","E","England - Approved (Fee Cap)","","0"
"0121","10007767","Keele University","E","England - Approved (Fee Cap)","","0"
"0122","10007150","The University of Kent","E","England - Approved (Fee Cap)","","0"
"0123","10007768","The University of Lancaster","E","England - Approved (Fee Cap)","","0"
"0124","10007795","The University of Leeds","E","England - Approved (Fee Cap)","","0"
"0125","10007796","The University of Leicester","E","England - Approved (Fee Cap)","","0"
"0126","10006842","The University of Liverpool","E","England - Approved (Fee Cap)","","0"
"0127","10007760","Birkbeck College","E","England - Approved (Fee Cap)","","0"
"0128","","British Postgraduate Medical Federation","E","","","1"
"0129","","Charing Cross and Westminster Medical School","E","","","1"
"0131","10002718","Goldsmiths College","E","England - Approved (Fee Cap)","","0"
"0132","10003270","Imperial College of Science, Technology and Medicine","E","England - Approved (Fee Cap)","","0"
"0133","10007766","Institute of Education","E","","","1"
"0134","10003645","King's College London","E","England - Approved (Fee Cap)","","0"
"0135","10007769","London Business School","E","England - Approved (Fee Cap)","","0"
"0136","","The London Hospital Medical College","E","","","1"
"0137","10004063","London School of Economics and Political Science","E","England - Approved (Fee Cap)","","0"
"0138","10007771","London School of Hygiene and Tropical Medicine","E","England - Approved (Fee Cap)","","0"
"0139","10007775","Queen Mary University of London","E","England - Approved (Fee Cap)","","0"
"0140","","Royal Free Hospital School of Medicine","E","","","1"
"0141","10005553","Royal Holloway and Bedford New College","E","England - Approved (Fee Cap)","","0"
"0142","","Royal Postgraduate Medical School","E","","","1"
"0143","10007779","The Royal Veterinary College","E","England - Approved (Fee Cap)","","0"
"0144","","St Bartholomew's Hospital Medical College","E","","","1"
"0145","10007782","St George's, University of London","E","England - Approved (Fee Cap)","","0"
"0146","10007780","SOAS University of London","E","England - Approved (Fee Cap)","","0"
"0147","10007781","The School of Pharmacy","E","","","1"
"0148","","United Medical and Dental Schools, Guy's and St Thomas's Hospitals","E","","","1"
"0149","10007784","University College London","E","England - Approved (Fee Cap)","","0"
"0150","","Wye College","E","","","1"
"0151","10007797","University of London (Institutes and activities)","E","England - Approved (Fee Cap)","","0"
"0152","10004113","Loughborough University","E","England - Approved (Fee Cap)","","0"
"0153","10007798","University of Manchester","E","","","1"
"0154","10007799","Newcastle University","E","England - Approved (Fee Cap)","","0"
"0155","10007154","University of Nottingham","E","England - Approved (Fee Cap)","","0"
"0156","10007774","The University of Oxford","E","England - Approved (Fee Cap)","","0"
"0157","10007802","The University of Reading","E","England - Approved (Fee Cap)","","0"
"0158","10007156","The University of Salford","E","England - Approved (Fee Cap)","","0"
"0159","10007157","The University of Sheffield","E","England - Approved (Fee Cap)","","0"
"0160","10007158","The University of Southampton","E","England - Approved (Fee Cap)","","0"
"0161","10007160","The University of Surrey","E","England - Approved (Fee Cap)","","0"
"0162","10007806","The University of Sussex","E","England - Approved (Fee Cap)","","0"
"0163","10007163","The University of Warwick","E","England - Approved (Fee Cap)","","0"
"0164","10007167","The University of York","E","England - Approved (Fee Cap)","","0"
"0165","","The University of Manchester Institute of Science and Technology","E","","","1"
"0167","10007790","The University of Edinburgh","S","Scotland HE Provider","","0"
"0168","10007794","The University of Glasgow","S","Scotland HE Provider","","0"
"0169","10007805","The University of Strathclyde","S","Scotland HE Provider","","0"
"0170","10007783","The University of Aberdeen","S","Scotland HE Provider","","0"
"0171","10007764","Heriot-Watt University","S","Scotland HE Provider","","0"
"0172","10007852","The University of Dundee","S","Scotland HE Provider","","0"
"0173","10007803","The University of St. Andrews","S","Scotland HE Provider","","0"
"0174","10007804","The University of Stirling","S","Scotland HE Provider","","0"
"0175","10005700","SRUC","S","Scotland HE Provider","","0"
"0176","10007858","University of Wales Trinity Saint David","W","Wales HE Provider","","0"
"0177","10007856","Aberystwyth University","W","Wales HE Provider","","0"
"0178","10007857","Bangor University","W","Wales HE Provider","","0"
"0179","10007814","Cardiff University","W","Wales HE Provider","","0"
"0180","10007855","Swansea University","W","Wales HE Provider","","0"
"0181","","University of Wales College of Medicine","W","","","1"
"0182","10007838","Royal Welsh College of Music and Drama","W","","","1"
"0183","","The Welsh Agricultural College","W","","","1"
"0184","10005343","Queen's University Belfast","N","Northern Ireland HE Provider","","0"
"0185","10007807","Ulster University","N","Northern Ireland HE Provider","","0"
"0186","10008574","The University of Wales (central functions)","W","Wales HE Provider","","0"
"0187","","Westhill College","E","","","1"
"0188","10003324","The Institute of Cancer Research","E","England - Approved (Fee Cap)","","0"
"0189","10007657","Writtle University College","E","England - Approved (Fee Cap)","","0"
"0190","10004775","Norwich University of the Arts","E","England - Approved (Fee Cap)","","0"
"0191","10008816","Northern School of Contemporary Dance","E","England - Approved (Fee Cap)","","0"
"0192","10001802","Cumbria Institute of the Arts","E","","","1"
"0193","10008010","Stranmillis University College","N","Northern Ireland HE Provider","","0"
"0194","10008026","St Mary's University College","N","Northern Ireland HE Provider","","0"
"0195","10005545","Royal Agricultural University","E","England - Approved (Fee Cap)","","0"
"0196","10007114","University of the Highlands and Islands","S","Scotland HE Provider","","0"
"0197","10000385","The Arts University Bournemouth","E","England - Approved (Fee Cap)","","0"
"0198","10007809","Bell College","S","Scotland HE Provider","","1"
"0199","10001653","Conservatoire for Dance and Drama","E","England - Approved (Fee Cap)","","1"
"0200","10000712","University College Birmingham","E","England - Approved (Fee Cap)","","0"
"0201","10007761","Courtauld Institute of Art","E","England - Approved (Fee Cap)","","0"
"0202","10004048","London Metropolitan University","E","England - Approved (Fee Cap)","","0"
"0203","10007787","The University of Buckingham","E","England - Approved","","0"
