id,ukprn,university,year,source_url,download_timestamp,pdf_path,txt_path,json_path
6945,10006022,Southampton Solent University,2022,,,,extracted_text/Solent_University_2021_audit-committee-annual-report-2021-22.txt,extracted_text/Solent_University_2021_audit-committee-annual-report-2021-22.json
6946,10006840,The University of Birmingham,2002,,,,extracted_text/University_of_Birmingham_accounts2002.txt,extracted_text/University_of_Birmingham_accounts2002.json
6947,10007786,The University of Bristol,2014,,,,extracted_text/University_of_Bristol_fs1314.txt,extracted_text/University_of_Bristol_fs1314.json
6948,10007786,The University of Bristol,2009,,,,extracted_text/University_of_Exeter_UoE_Financial_Statements_2008_09.txt,extracted_text/University_of_Exeter_UoE_Financial_Statements_2008_09.json
6949,10007768,The University of Lancaster,2022,,,,extracted_text/University_of_Lancaster_2021%20Lancaster%20University%20Annual%20Accounts.txt,extracted_text/University_of_Lancaster_2021%20Lancaster%20University%20Annual%20Accounts.json
6950,10007786,The University of Bristol,2012,,,,extracted_text/University_of_St_Andrews_Investment_as_at_31_July_2011.txt,
6951,10007786,The University of Bristol,2011,,,,extracted_text/University_of_St_Andrews_Investments as at 31 July 2010.txt,
6952,10007804,The University of Stirling,2018,,,,extracted_text/University_of_Stirling_university-of-stirling-financial-statement-2017-18.txt,
6953,10007780,SOAS University of London,2016,,,,extracted_text/SOAS_University_of_London_Financial%20statements%202015-16.txt,extracted_text/SOAS_University_of_London_Financial%20statements%202015-16.json
6954,10007802,The University of Reading,2025,,,,extracted_text/University_of_Reading_2024_finance2024statement.txt,extracted_text/University_of_Reading_2024_finance2024statement.json
6955,10007761,Courtauld Institute of Art,2008,,,,extracted_text/Courtauld_Institute_of_Art_2007-08-Financial-Statements1.txt,extracted_text/Courtauld_Institute_of_Art_2007-08-Financial-Statements1.json
6956,10002718,Goldsmiths College,2016,,,,extracted_text/Goldsmiths_College_2017_00160_financial_statements_2017-v4_Final.txt,extracted_text/Goldsmiths_College_2017_00160_financial_statements_2017-v4_Final.json
6957,10003645,King's College London,2024,,,,extracted_text/Kings_College_London_expenses-aug-2023-jan-2024.txt,extracted_text/Kings_College_London_expenses-aug-2023-jan-2024.json
6958,10000291,Anglia Ruskin University,2014,,,,extracted_text/Anglia_Ruskin_University_annual-report-and-accounts-2013-14-pdf.txt,extracted_text/Anglia_Ruskin_University_annual-report-and-accounts-2013-14-pdf.json
6959,10007784,University College London,2015,,,,extracted_text/University_College_London_UCL_2014_UCL-annual-report.txt,extracted_text/University_College_London_UCL_2014_UCL-annual-report.json
6960,10007851,University of Derby,2020,,,,extracted_text/University_of_Derby_Accounts-2019.txt,extracted_text/University_of_Derby_Accounts-2019.json
6961,10004180,The Manchester Metropolitan University,2021,,,,extracted_text/Manchester_Metropolitan_University_Annual_Statement_2020_2021.txt,extracted_text/Manchester_Metropolitan_University_Annual_Statement_2020_2021.json
6962,10007801,University of Plymouth,2024,,,,extracted_text/University_of_Plymouth_Annual_Report_and_Financial_Statements_for_the_year_ended_31_July_2023.txt,extracted_text/University_of_Plymouth_Annual_Report_and_Financial_Statements_for_the_year_ended_31_July_2023.json
