University,Country,Domain,Year,URL
Oxford Brookes University,England,www.brookes.ac.uk,N/A,https://www.brookes.ac.uk/about-brookes/structure-and-governance/policies-and-financial-statements
Oxford Brookes University,England,www.brookes.ac.uk,N/A,https://www.brookes.ac.uk/about-brookes/structure-and-governance/policies-and-financial-statements/freedom-of-information/our-priorities/
Oxford Brookes University,England,www.brookes.ac.uk,N/A,https://www.brookes.ac.uk/staff/working-at-brookes/equality-diversity-and-inclusion/reports/annual-reports
Oxford Brookes University,England,www.brookes.ac.uk,N/A,https://www.brookes.ac.uk/about-brookes/structure-and-governance/policies-and-financial-statements/freedom-of-information/our-priorities
Oxford Brookes University,England,www.brookes.ac.uk,N/A,https://www.brookes.ac.uk/about-brookes/structure-and-governance/policies-and-financial-statements/freedom-of-information/what-we-spend-and-how-we-spend-it
University of Plymouth,England,www.plymouth.ac.uk,2022,https://www.plymouth.ac.uk/news/annual-report-2022-23
University of Plymouth,England,www.plymouth.ac.uk,N/A,https://www.plymouth.ac.uk/about-us/university-structure/service-areas/finance/financial-statements
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKI103/financial-accountant
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKE480/financial-accounting-manager
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DJS349/financial-accountant
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DBK908/financial-accountant
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKQ660/group-financial-accountant
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DIT711/interim-senior-financial-accounting-manager
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DGT752/financial-accounting-assistant
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKY579/financial-accountant
Ravensbourne University London,England,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DLL249/head-of-management-accounts
University of Reading,England,www.reading.ac.uk,2025,https://www.reading.ac.uk/finance/-/media/project/functions/finance/documents/university-accounts-finance/investment-statements/finance2025statement.pdf?la=en&hash=865A31D02A439321FC95D150308BC345
University of Reading,England,www.reading.ac.uk,2024,https://www.reading.ac.uk/finance/-/media/project/functions/finance/documents/university-accounts-finance/investment-statements/finance2024statement.pdf?la=en&hash=AE8996932D1AC72D8D74515902FE5A52
Royal Northern College of Music,England,www.rncm.ac.uk,2024,https://www.rncm.ac.uk/uploads/RNCM-Financial-Statements-2023-2024-signed.pdf
Royal Northern College of Music,England,www.rncm.ac.uk,2023,https://www.rncm.ac.uk/uploads/2023-RHRC-annual-report.docx
Royal Northern College of Music,England,www.rncm.ac.uk,N/A,https://www.rncm.ac.uk/uploads/RNCM-Financial-Statements-20-21-Published-min.pdf
The Royal Veterinary College,England,www.london.ac.uk,2023,https://www.london.ac.uk/sites/default/files/Financial-Statements-2023.pdf
The Royal Veterinary College,England,www.london.ac.uk,2012,https://www.london.ac.uk/sites/default/files/governance/Financial-Statements-2012-13.pdf
The Royal Veterinary College,England,www.london.ac.uk,N/A,https://www.london.ac.uk/about/finance/annual-reports-financial-statements
University of St Mark & St John,England,www.joh.cam.ac.uk,2012,https://www.joh.cam.ac.uk/sites/default/files/documents/Annual+report+and+financial+statements+2012.pdf
University of St Mark & St John,England,www.joh.cam.ac.uk,2012,https://www.joh.cam.ac.uk/sites/default/files/documents/College+Accounts+2012-13.pdf
University of St Mark & St John,England,www.joh.cam.ac.uk,2005,https://www.joh.cam.ac.uk/sites/default/files/documents/accounts-2005-06.pdf
The University of Salford,England,www.salford.ac.uk,2024,https://www.salford.ac.uk/sites/default/files/2024-12/Financial_Report_2024_UOS.pdf
The University of Salford,England,www.salford.ac.uk,N/A,https://www.salford.ac.uk/corporate-information/annual-report
The University of Sheffield,England,sheffield.ac.uk,N/A,https://sheffield.ac.uk/finance/annual-report-financial-statements
The University of Sheffield,England,sheffield.ac.uk,N/A,https://sheffield.ac.uk/foi/accounts
The University of Sheffield,England,sheffield.ac.uk,N/A,https://sheffield.ac.uk/about/annual-report
University of Southampton,England,www.southampton.ac.uk,2013,https://www.southampton.ac.uk/assets/imported/transforms/content-block/UsefulDownloads_Download/CA9084BDD0CD4AFA939A0A01863F1F83/Financial-Statements2013-14.pdf
Solent University,England,www.solent.ac.uk,2021,https://www.solent.ac.uk/about/documents/audit-committee-annual-report-2021-22.pdf
Solent University,England,www.solent.ac.uk,2019,https://www.solent.ac.uk/about/documents/financial-statements-2019-20.pdf
Solent University,England,www.solent.ac.uk,2017,https://www.solent.ac.uk/about/documents/financial-statements-2017-18.pdf
Solent University,England,www.solent.ac.uk,2010,https://www.solent.ac.uk/about/documents/financial-statements-2010-11.pdf
Staffordshire University,England,www.keele.ac.uk,N/A,https://www.keele.ac.uk/finance/accounts/
University of Suffolk,England,www.uos.ac.uk,2023,https://www.uos.ac.uk/media/uniofsuffolk/website/content-assets/documents/pod/equality-amp-diversity-/annual-reports/Signed-Financial-Statements-31-July-2023.pdf
University of Suffolk,England,www.uos.ac.uk,2021,https://www.uos.ac.uk/media/uniofsuffolk/website/content-assets/documents/publication-scheme/Financial-Statements-for-year-ended-31-July-2021.pdf
University of Suffolk,England,www.uos.ac.uk,2020,https://www.uos.ac.uk/media/uniofsuffolk/website/content-assets/documents/publication-scheme/Financial-Statements-for-year-ended-31-July-2020.pdf
University of Suffolk,England,www.uos.ac.uk,2010,https://www.uos.ac.uk/media/uniofsuffolk/website/content-assets/documents/policies-and-procedures/Financial-Statement-for-year-ended-31st-July-2010.pdf
University of Suffolk,England,www.uos.ac.uk,N/A,https://www.uos.ac.uk/about/financial-statements/
University of Sunderland,England,www.sunderland.ac.uk,N/A,https://www.sunderland.ac.uk/more/research/thematic-research-areas/business-tourism/certe/annual-reports/
University of Sunderland,England,www.sunderland.ac.uk,N/A,https://www.sunderland.ac.uk/about/equality-diversity-inclusion/edi-annual-report-22/
Teesside University,England,www.buila.ac.uk,2020,https://www.buila.ac.uk/uploads/docs/Annual-Report-2019-2020.pdf
"University of the West of England, Bristol",England,www.bristol.ac.uk,N/A,https://www.bristol.ac.uk/directory/finance/about/annual-reports-and-financial-statements/
The University of West London,England,www.westminster.ac.uk,N/A,https://www.westminster.ac.uk/about-us/our-university/corporate-information/policies-and-documents-a-z/annual-reporting
The University of Westminster,England,www.westminster.ac.uk,N/A,https://www.westminster.ac.uk/about-us/our-university/corporate-information/policies-and-documents-a-z/annual-reporting
University of Winchester,England,barton-peveril.ac.uk,2019,https://barton-peveril.ac.uk/wp-content/uploads/2019/02/Finance-Report-2017-18.pdf
The University of Wolverhampton,England,www.advance-he.ac.uk,2024,https://www.advance-he.ac.uk/sites/default/files/2024-12/Advance_HE_Annual_Report_and_Accounts_2023-24-Signed.pdf
University of Worcester,England,www.worcester.ac.uk,2023,https://www.worcester.ac.uk/documents/Report-and-Financial-Statements-31-July-2023.pdf
University of Worcester,England,www.worcester.ac.uk,N/A,https://www.worcester.ac.uk/documents/annual-accounts-17-18.pdf
University of Worcester,England,www.worcester.ac.uk,N/A,https://www.worcester.ac.uk/documents/annual-accounts-16-17.pdf
Writtle University College,England,www.aru.ac.uk,N/A,https://www.aru.ac.uk/about-us/governance/strategy-and-leadership/annual-report-and-accounts
York St John University,England,www.yorksj.ac.uk,2023,https://www.yorksj.ac.uk/media/content-assets/about/documents/annual_report_and_financial_statements_2023-24.pdf
York St John University,England,www.yorksj.ac.uk,2014,https://www.yorksj.ac.uk/media/content-assets/about/documents/Annual-Report-&-Financial-Statements-2013-2014.pdf
Abertay University,Scotland,admin.abertay.ac.uk,2024,https://admin.abertay.ac.uk/media/epqgixpa/rkec052432-annual-report-for-the-concordat-to-support-the-career-development-of-researchers-2024.pdf
University of Aberdeen,Scotland,www.abdn.ac.uk,N/A,https://www.abdn.ac.uk/staffnet/working-here/finance/annual-report--accounts/
University of Dundee,Scotland,www.dundee.ac.uk,N/A,https://www.dundee.ac.uk/corporate-information/museum-services-annual-reports
University of Dundee,Scotland,www.dundee.ac.uk,N/A,https://www.dundee.ac.uk/corporate-information/financial-statements
University of Edinburgh,Scotland,www.ed.ac.uk,N/A,https://www.ed.ac.uk/files/atoms/files/sbs_annual_report_accounts.pdf
Glasgow Caledonian University,Scotland,www.buila.ac.uk,2020,https://www.buila.ac.uk/uploads/docs/Annual-Report-2019-2020.pdf
University of the Highlands and Islands,Scotland,www.uhi.ac.uk,N/A,https://www.uhi.ac.uk/en/about-uhi/compliance-and-regulations/financial-statements-and-regulations/
"Queen Margaret University, Edinburgh",Scotland,www.ed.ac.uk,N/A,https://www.ed.ac.uk/files/atoms/files/sbs_annual_report_accounts.pdf
Robert Gordon University,Scotland,www.abdn.ac.uk,2021,https://www.abdn.ac.uk/media/site/staffnet/documents/finance-statements/Annual-Report-2021-Final.pdf
Robert Gordon University,Scotland,www.abdn.ac.uk,N/A,https://www.abdn.ac.uk/staffnet/working-here/finance/annual-report--accounts/
Royal Conservatoire of Scotland,Scotland,www.rcs.ac.uk,N/A,https://www.rcs.ac.uk/about/accounts/
